createdAt,objectId,streamArchiveId,streamBlockedUsers,streamConversationStarter,streamConversationStarterDescription,streamConversationStarterDescriptionSearch,streamCreator,streamCreatorSearch,streamDescription,streamDescriptionSearch,streamEndTime,streamLength,streamListenCount,streamLive,streamParticipants,streamPastParticipants,streamPopular,streamReplayScore,streamScore,streamSessionId,streamStartTime,streamTopic,streamWebListenCount,updatedAt
2016-03-30T23:54:39.915Z,000tyYitST,,,,,,IvZpDgbNPu,user1,,,,,0,FALSE,"(
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = l5mMvi8AGi;
    }
)","(
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = l5mMvi8AGi;
    }
)",FALSE,0,7,2_MX40NTIyMDI1Mn5-MTQ1OTM4MjA3ODY3NH56dm1kcll5bU42eTEzUExrNm52K3JGWFd-fg,,,0,2016-03-30T23:54:39.915Z
2016-04-16T02:41:34.696Z,00gtRZr7BR,,"(
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = R3iwJlZYDU;
    }
)",,,,ZejorYTFuq,user2,,,2016-04-16T02:57:24.215Z,940.45656,6,FALSE,"(
)","(
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = GoekLm4YkY;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = 1mUe61a6z1;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = R3iwJlZYDU;
    }
)",FALSE,0,276,1_MX40NTIyMDI1Mn5-MTQ2MDc3NDQ5NDYzOX5IWXVJdlNJYXFiemhUZ2p6emtEUjdWNEt-fg,2016-04-16T02:41:43.753Z,,0,2016-04-16T02:57:29.320Z
2015-11-15T06:30:52.448Z,01RS7QRBW2,c5df435f-f67a-4602-ba99-df90a7e0b120,"(
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = pXkQOQB3si;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = rIm5GYls49;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = FxnxcSssFT;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = vZuCI7Y6Di;
    }
)",,,,zgVQxitC0Y,user3,randomness,randomness,2015-11-15T06:48:14.534Z,1028.818005,1,FALSE,"(
)","(
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = kvEdfzoLYe;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = wJ39RHwVBl;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = FxnxcSssFT;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = cxQYj7E0I6;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = l2v5L34QsT;
    },
        {
        ""__type"" = Pointer;
        className = ""_User"";
        objectId = 8x8iR9rCcx;
    }
)",FALSE,40,1670,1_MX40NTIyMDI1Mn5-MTQ0NzU2OTA1MjI3N35aalVqSU1aUmg0NmV1SGJTeVg3dGdYL1R-fg,2015-11-15T06:31:05.526Z,dzTriTHw54,,2015-11-18T19:28:19.006Z
